date,platform,type,datetime,title,byline,url,rank
2015-09-23,web,all,2015-09-23T00:00:00-04:00,State Department&#039;s account of e-mail request differs from Clinton&#039;s,Carol D. Leonnig,http://www.washingtonpost.com/politics/state-departments-account-of-e-mail-request-differs-from-clintons/2015/09/22/54cd66bc-5ed9-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,1
2015-09-23,web,all,2015-09-23T00:00:00-04:00,CEO who raised price of old pill more than $700 calls journalist a &#039;moron&#039; for asking why,Ariana Eunjung Cha,http://www.washingtonpost.com/news/to-your-health/wp/2015/09/21/ceo-of-company-that-raised-the-price-of-old-pill-hundreds-of-dollars-overnight-calls-journalist-a-moron-for-asking-why/?tid=pm_pop,2
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Pope Francis has arrived in the United States. Here&#039;s what to expect.,Abby Ohlheiser,http://www.washingtonpost.com/news/acts-of-faith/wp/2015/09/22/what-to-expect-when-pope-francis-arrives-in-the-united-states/?tid=pm_pop,3
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Pope Francis appeases the Castros in repressive Cuba,Editorial Board,http://www.washingtonpost.com/opinions/deferring-to-the-castros/2015/09/21/30001198-6075-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,4
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Why I had an abortion after 20 weeks,Rebecca Cohen,http://www.washingtonpost.com/opinions/why-i-had-an-abortion-after-20-weeks/2015/09/20/174495cc-5e2f-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,5
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Inside the collapse of Scott Walker&#039;s presidential bid,Matea Gold,http://www.washingtonpost.com/politics/inside-the-collapse-of-scott-walkers-presidential-campaign/2015/09/22/6d1b8c9a-6144-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,6
2015-09-23,web,all,2015-09-23T00:00:00-04:00,How Bernie Sanders greeted Pope Francis,Mike DeBonis,http://www.washingtonpost.com/news/post-politics/wp/2015/09/22/how-bernie-sanders-greeted-pope-francis/?tid=pm_pop,7
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Conservatives pushing for a government shutdown fight are running a con game,Greg Sargent,http://www.washingtonpost.com/blogs/plum-line/wp/2015/09/22/conservatives-pushing-for-a-government-shutdown-fight-are-running-a-con-game/?tid=pm_pop,8
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"Update: Passengers evacuated from Metro train, service restored on Green and Yellow lines",Julie Zauzmer,http://www.washingtonpost.com/blogs/dr-gridlock/wp/2015/09/22/no-metro-service-on-a-busy-portion-of-the-green-and-yellow-lines/?tid=pm_pop,9
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Kirk Cousins is in a much better place than last time he started against the Giants,Mike Jones,http://www.washingtonpost.com/sports/redskins/cousins-is-in-a-much-better-place-than-last-time-he-started-against-the-giants/2015/09/22/1a98173a-616d-11e5-b38e-06883aacba64_story.html?tid=pm_pop,10
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Is Jeb Bush ready to embrace his last name?,Ed O&#039;Keefe,http://www.washingtonpost.com/politics/is-jeb-bush-ready-to-embrace-his-last-name/2015/09/22/705d45f6-60d1-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,11
2015-09-23,web,all,2015-09-23T00:00:00-04:00,White House guest list for the pope irks some conservatives,Steven Mufson,http://www.washingtonpost.com/news/post-politics/wp/2015/09/22/white-house-guest-list-for-the-pope-irks-some-conservatives/?tid=pm_pop,12
2015-09-23,web,all,2015-09-23T00:00:00-04:00,The shocking racial epithet hurled at USC&#039;s student body president,Lindsey Bever,http://www.washingtonpost.com/news/grade-point/wp/2015/09/21/the-shockingly-racist-campus-salute-for-uscs-student-body-president/?tid=pm_pop,13
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Clinton&#039;s Keystone move says more about her primary problems than anything else,Philip Bump,http://www.washingtonpost.com/news/the-fix/wp/2015/09/22/hillary-clintons-keystone-statement-says-more-about-the-primaries-than-the-environment/?tid=pm_pop,14
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Who&#039;s that with Pope Francis? The seven kinds of people you meet in a papal entourage.,Dan Zak,http://www.washingtonpost.com/lifestyle/style/whos-that-with-pope-francis-the-seven-kinds-of-people-you-meet-in-a-papal-entourage/2015/09/22/545822fc-5e30-11e5-9757-e49273f05f65_story.html?tid=pm_pop,15
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"E.U. votes to distribute 120,000 asylum seekers across Europe",Michael Birnbaum,http://www.washingtonpost.com/world/europe/eu-ministers-seek-common-front-on-refugee-crisis/2015/09/22/34ad5a66-60a2-11e5-8475-781cc9851652_story.html?tid=pm_pop,16
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Shrill rhetoric in the GOP primary race could come back to haunt the party,Karen Tumulty,http://www.washingtonpost.com/politics/shrill-rhetoric-in-the-gop-primary-race-could-come-back-to-haunt-the-party/2015/09/22/f879cc90-6151-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,17
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Donald Trump seems to be a little cranky now that the polls don&#039;t look so great,Philip Bump,http://www.washingtonpost.com/news/the-fix/wp/2015/09/22/donald-trump-sure-is-getting-cranky-now-that-the-polls-dont-look-so-great/?tid=pm_pop,18
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Coastal storm has chance to bring big rains to D.C.: Will it and when?,Jason Samenow,http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2015/09/22/coastal-storm-has-chance-to-bring-big-rains-to-d-c-will-it-and-when/?tid=pm_pop,19
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"Carly Fiorina, the CNN-created flavor of the week",Dana Milbank,http://www.washingtonpost.com/opinions/carly-fiorina-the-cnn-created-flavor-of-the-week/2015/09/22/7ca082c6-6156-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,20
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"Donald Trump&#039;s amazing &#039;cease and desist&#039; letter, annotated",Chris Cillizza,http://www.washingtonpost.com/news/the-fix/wp/2015/09/22/donald-trumps-cease-and-desist-letter-annotated/?tid=pm_pop,21
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"Pope Francis arrives Tuesday. If you need to come downtown, leave your car at home and add extra time to your trip.",Luz Lazo,http://www.washingtonpost.com/blogs/dr-gridlock/wp/2015/09/21/pope-francis-arrives-tuesday-if-you-need-to-come-downtown-leave-your-car-at-home-and-add-extra-time-to-your-trip/?tid=pm_pop,22
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"In sure signal he&#039;s feeling heat, Trump lashes out at Fox News",Erik Wemple,http://www.washingtonpost.com/blogs/erik-wemple/wp/2015/09/22/in-sure-signal-hes-feeling-heat-trump-lashes-out-at-fox-news/?tid=pm_pop,23
2015-09-23,web,all,2015-09-23T00:00:00-04:00,Anatomy of Volkswagen&#039;s deception: The recall that never fixed any cars,Peter Whoriskey,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/22/anatomy-of-volkswagons-deception-the-recall-that-never-fixed-any-cars/?tid=pm_pop,24
2015-09-23,web,all,2015-09-23T00:00:00-04:00,The surprising geography of American left-handedness,Christopher Ingraham,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/22/the-surprising-geography-of-american-left-handedness/?tid=pm_pop,25
2015-09-23,web,all,2015-09-23T00:00:00-04:00,"&#039;Lethal love&#039;: Harold Henthorn had two wives. Both died in bizarre, brutal ways.",Michael E. Miller,http://www.washingtonpost.com/news/morning-mix/wp/2015/09/22/lethal-love-harold-henthorn-had-two-wives-both-died-in-bizarre-brutal-ways/?tid=pm_pop,26
