date,platform,type,datetime,title,byline,url,rank
2015-09-22,web,all,2015-09-22T06:40:00-04:00,CEO who raised price of old pill more than $700 calls journalist a &#039;moron&#039; for asking why,Ariana Eunjung Cha,http://www.washingtonpost.com/news/to-your-health/wp/2015/09/21/ceo-of-company-that-raised-the-price-of-old-pill-hundreds-of-dollars-overnight-calls-journalist-a-moron-for-asking-why/?tid=pm_pop,1
2015-09-22,web,all,2015-09-22T06:40:00-04:00,Former peanut executive sentenced to 28 years in prison,Brady Dennis,http://www.washingtonpost.com/national/health-science/former-peanut-executive-sentenced-to-28-years-in-prison-for-outbreak-that-killed-nine-people-sickened-hundreds/2015/09/21/aba7500e-60a7-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,2
2015-09-22,web,all,2015-09-22T06:40:00-04:00,"Ted Cruz, Stephen Colbert go back and forth over Ronald Reagan, gay marriage",Katie Zezima,http://www.washingtonpost.com/news/post-politics/wp/2015/09/22/ted-cruz-stephen-colbert-go-back-and-forth-over-ronald-reagan-gay-marriage/?tid=pm_pop,3
2015-09-22,web,all,2015-09-22T06:40:00-04:00,The shocking racial epithet hurled at USC&#039;s student body president,Lindsey Bever,http://www.washingtonpost.com/news/grade-point/wp/2015/09/21/the-shockingly-racist-campus-salute-for-uscs-student-body-president/?tid=pm_pop,4
2015-09-22,web,all,2015-09-22T06:40:00-04:00,Why I had an abortion after 20 weeks,Rebecca Cohen,http://www.washingtonpost.com/opinions/why-i-had-an-abortion-after-20-weeks/2015/09/20/174495cc-5e2f-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,5
2015-09-22,web,all,2015-09-22T06:40:00-04:00,Jeff Smith was supposed to be in Congress by now. Instead he&#039;s an ex-con - with a story to tell.,Ben Terris,http://www.washingtonpost.com/lifestyle/style/jeff-smith-was-supposed-to-be-in-congress-by-now-instead-hes-an-ex-con--with-a-story-to-tell/2015/09/21/928b9eda-5bd5-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,6
2015-09-22,web,all,2015-09-22T06:40:00-04:00,"Inside Chris Christie&#039;s militia, flab and cronyism trigger mutiny in the ranks",Craig Whitlock,http://www.washingtonpost.com/world/national-security/inside-chris-christies-militia-flab-and-cronyism-trigger-mutiny-in-the-ranks/2015/09/21/1493ac4c-57bc-11e5-abe9-27d53f250b11_story.html?tid=pm_pop,7
2015-09-22,web,all,2015-09-22T06:40:00-04:00,"With fight against the Islamic State in Iraq stalled, U.S. looks to Syria for gains",Missy Ryan,http://www.washingtonpost.com/world/national-security/with-fight-against-the-islamic-state-in-iraq-stalled-us-looks-to-syria-for-gains/2015/09/21/0c473098-607e-11e5-9757-e49273f05f65_story.html?tid=pm_pop,8
2015-09-22,web,all,2015-09-22T06:40:00-04:00,Clinton proposing $250 monthly cap on prescription drug costs for patients,Anne Gearan,http://www.washingtonpost.com/news/post-politics/wp/2015/09/22/clinton-proposing-250-monthly-cap-on-prescription-drug-costs-for-patients/?tid=pm_pop,9
2015-09-22,web,all,2015-09-22T06:40:00-04:00,"After being fired, why should we hire Carly Fiorina for president?",Richard Cohen,http://www.washingtonpost.com/opinions/business-acumen-no-guarantee-of-success-in-the-white-house/2015/09/21/657bc568-6081-11e5-9757-e49273f05f65_story.html?tid=pm_pop,10
